lifestyle_preferences,personal_values,hobbies,media_consumption,attitudes_towards_technology,risk_tolerance,social_values_orientation,political_affiliation,community_involvement,travel_preferences,cultural_activities_participation,leadership_propensity,charitable_activities,fashion_preferences,privacy_concerns
Sedentary,Health,Reading,Magazines,Neutral,Low,Collectivist,Liberal,Active,Luxury,Frequent,High,None,Classic,High
Balanced,Career,Travel,TV,Enthusiastic,Low,Behavioralistic,Independent,Inactive,Adventure,Rare,High,Frequent,Trendy,Low
Sedentary,Community,Reading,TV,Resistant,Low,Collectivist,Liberal,Inactive,Adventure,Rare,Low,Occasional,Classic,High
Balanced,Adventure,Reading,News Websites,Neutral,High,Collectivist,Conservative,Occasional,Domestic,Occasional,Moderate,Occasional,Classic,High
Balanced,Adventure,Sports,Magazines,Resistant,High,Behavioralistic,Independent,Occasional,Luxury,Rare,High,None,Classic,Moderate
Balanced,Adventure,Gaming,Magazines,Neutral,Moderate,Collectivist,Independent,Active,International,Frequent,Moderate,Occasional,Classic,Moderate
Balanced,Family,Travel,News Websites,Resistant,High,Collectivist,Conservative,Occasional,International,Frequent,Moderate,None,Classic,Moderate
Sedentary,Career,Reading,News Websites,Enthusiastic,Moderate,Behavioralistic,Independent,Inactive,Luxury,Occasional,Moderate,Occasional,Trendy,Low
Sedentary,Adventure,Reading,News Websites,Enthusiastic,High,Collectivist,Liberal,Inactive,Domestic,Occasional,Low,None,Classic,Moderate
Balanced,Career,Travel,Streaming,Neutral,High,Behavioralistic,Conservative,Active,International,Rare,High,Frequent,Classic,High
Balanced,Health,Reading,News Websites,Resistant,Moderate,Behavioralistic,Liberal,Occasional,Domestic,Rare,High,Occasional,Minimalist,Moderate
Balanced,Career,Reading,Streaming,Enthusiastic,High,Collectivist,Independent,Active,Adventure,Rare,High,Occasional,Minimalist,Low
Balanced,Health,Cooking,Magazines,Enthusiastic,Moderate,Behavioralistic,Conservative,Active,Domestic,Frequent,High,None,Trendy,High
Balanced,Adventure,Reading,Social Media,Enthusiastic,High,Behavioralistic,Liberal,Occasional,International,Rare,Low,Occasional,Minimalist,Low
Balanced,Family,Cooking,News Websites,Resistant,High,Behavioralistic,Independent,Active,Luxury,Frequent,Low,Frequent,Trendy,Low
Balanced,Adventure,Cooking,Streaming,Resistant,High,Behavioralistic,Conservative,Occasional,Domestic,Rare,High,None,Classic,Low
Active,Community,Gaming,TV,Neutral,Low,Collectivist,Independent,Active,Adventure,Frequent,Moderate,Occasional,Casual,High
Sedentary,Health,Cooking,News Websites,Enthusiastic,Low,Collectivist,Liberal,Inactive,International,Occasional,Low,None,Trendy,Low
Active,Community,Cooking,Streaming,Enthusiastic,Moderate,Collectivist,Liberal,Occasional,Domestic,Rare,Low,Occasional,Trendy,Low
Sedentary,Family,Gaming,TV,Neutral,Low,Collectivist,Conservative,Inactive,Adventure,Occasional,Moderate,Frequent,Minimalist,Moderate
Active,Career,Sports,Streaming,Resistant,Moderate,Collectivist,Liberal,Active,International,Rare,Low,Occasional,Classic,Low
Sedentary,Adventure,Sports,Streaming,Neutral,High,Behavioralistic,Liberal,Occasional,International,Occasional,Moderate,None,Minimalist,Moderate
Balanced,Health,Cooking,Magazines,Enthusiastic,High,Collectivist,Conservative,Active,Domestic,Frequent,Low,Frequent,Trendy,High
Active,Family,Travel,TV,Neutral,Moderate,Collectivist,Independent,Inactive,International,Rare,Low,Frequent,Minimalist,High
Active,Community,Travel,Streaming,Neutral,Low,Behavioralistic,Independent,Inactive,Domestic,Occasional,Moderate,Occasional,Minimalist,High
Active,Career,Reading,TV,Neutral,Low,Behavioralistic,Independent,Inactive,Luxury,Occasional,Low,Frequent,Minimalist,Moderate
Balanced,Adventure,Gaming,News Websites,Neutral,Moderate,Behavioralistic,Conservative,Inactive,Adventure,Frequent,Moderate,None,Casual,High
Active,Community,Reading,Streaming,Resistant,Moderate,Behavioralistic,Conservative,Occasional,Luxury,Occasional,High,Occasional,Minimalist,High
Active,Family,Cooking,News Websites,Neutral,High,Behavioralistic,Conservative,Active,International,Occasional,Moderate,Occasional,Classic,Moderate
Sedentary,Health,Cooking,Social Media,Enthusiastic,High,Collectivist,Liberal,Active,Adventure,Frequent,Moderate,None,Minimalist,High
Active,Adventure,Gaming,Magazines,Resistant,High,Collectivist,Liberal,Inactive,Luxury,Rare,Moderate,Frequent,Minimalist,Low
Sedentary,Community,Reading,News Websites,Enthusiastic,Moderate,Collectivist,Liberal,Inactive,Domestic,Frequent,Moderate,Occasional,Trendy,Moderate
Sedentary,Career,Sports,TV,Enthusiastic,High,Behavioralistic,Conservative,Occasional,Adventure,Occasional,Moderate,Frequent,Classic,Low
Balanced,Community,Reading,Streaming,Resistant,Low,Behavioralistic,Conservative,Active,Domestic,Occasional,Low,None,Trendy,Moderate
Sedentary,Family,Travel,Magazines,Enthusiastic,Moderate,Behavioralistic,Independent,Inactive,Domestic,Frequent,High,Occasional,Trendy,High
Balanced,Career,Travel,Magazines,Enthusiastic,High,Behavioralistic,Liberal,Occasional,International,Rare,High,None,Casual,High
Balanced,Career,Cooking,TV,Enthusiastic,High,Collectivist,Conservative,Inactive,Domestic,Occasional,Low,Frequent,Trendy,Moderate
Sedentary,Family,Cooking,News Websites,Resistant,Low,Behavioralistic,Independent,Inactive,Domestic,Rare,Moderate,None,Trendy,Moderate
Sedentary,Career,Cooking,Streaming,Neutral,Low,Behavioralistic,Independent,Occasional,Adventure,Frequent,Moderate,Occasional,Minimalist,High
Balanced,Adventure,Cooking,Streaming,Resistant,Moderate,Behavioralistic,Independent,Occasional,International,Occasional,High,Frequent,Classic,Low
Active,Community,Gaming,Social Media,Neutral,Low,Behavioralistic,Conservative,Active,Domestic,Frequent,Moderate,None,Casual,High
Sedentary,Career,Sports,Magazines,Neutral,Low,Behavioralistic,Conservative,Inactive,Adventure,Frequent,High,Occasional,Casual,High
Active,Community,Sports,News Websites,Resistant,High,Collectivist,Conservative,Occasional,Domestic,Rare,Low,Occasional,Trendy,Low
Sedentary,Career,Reading,Social Media,Neutral,Low,Behavioralistic,Liberal,Occasional,Domestic,Frequent,Moderate,Frequent,Trendy,Low
Sedentary,Adventure,Travel,TV,Resistant,High,Collectivist,Conservative,Inactive,Adventure,Rare,High,Frequent,Classic,High
Balanced,Community,Gaming,News Websites,Neutral,High,Behavioralistic,Independent,Inactive,International,Occasional,Low,None,Classic,Moderate
Balanced,Adventure,Sports,Social Media,Resistant,High,Behavioralistic,Liberal,Active,International,Rare,Moderate,Occasional,Trendy,Moderate
Sedentary,Family,Sports,News Websites,Enthusiastic,High,Collectivist,Independent,Inactive,Adventure,Rare,Moderate,Occasional,Casual,Moderate
Balanced,Adventure,Reading,Social Media,Resistant,Low,Behavioralistic,Independent,Occasional,International,Rare,Low,Occasional,Classic,High
Sedentary,Family,Travel,Magazines,Neutral,High,Collectivist,Independent,Occasional,Domestic,Rare,Low,Occasional,Classic,Moderate
Balanced,Family,Reading,TV,Neutral,Moderate,Collectivist,Independent,Inactive,International,Frequent,Low,None,Trendy,High
Sedentary,Community,Cooking,Social Media,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Adventure,Frequent,High,None,Trendy,Moderate
Balanced,Adventure,Gaming,News Websites,Resistant,Low,Collectivist,Conservative,Active,Domestic,Occasional,Low,None,Minimalist,Low
Sedentary,Adventure,Travel,TV,Enthusiastic,Low,Collectivist,Conservative,Inactive,Luxury,Frequent,Moderate,Occasional,Classic,High
Active,Community,Travel,Streaming,Resistant,Moderate,Collectivist,Conservative,Active,Adventure,Occasional,Low,Frequent,Trendy,High
Active,Health,Reading,News Websites,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Luxury,Rare,Low,Occasional,Casual,Low
Sedentary,Family,Gaming,Magazines,Enthusiastic,Low,Collectivist,Conservative,Inactive,Adventure,Occasional,Low,None,Trendy,Low
Active,Community,Reading,Magazines,Enthusiastic,High,Behavioralistic,Conservative,Inactive,International,Occasional,Moderate,Frequent,Casual,Moderate
Sedentary,Family,Reading,Streaming,Enthusiastic,Moderate,Collectivist,Conservative,Active,Domestic,Rare,Low,Occasional,Casual,High
Sedentary,Adventure,Reading,Social Media,Neutral,Moderate,Behavioralistic,Liberal,Inactive,Luxury,Frequent,High,Frequent,Minimalist,Low
Sedentary,Health,Sports,Magazines,Enthusiastic,Moderate,Collectivist,Liberal,Active,Adventure,Rare,High,Frequent,Classic,Moderate
Sedentary,Adventure,Reading,Streaming,Enthusiastic,Moderate,Collectivist,Independent,Inactive,Domestic,Occasional,High,Frequent,Casual,High
Sedentary,Family,Sports,Magazines,Enthusiastic,High,Collectivist,Conservative,Active,Domestic,Occasional,High,Frequent,Casual,Low
Balanced,Health,Cooking,News Websites,Resistant,Moderate,Behavioralistic,Conservative,Occasional,Luxury,Rare,High,None,Casual,Low
Balanced,Community,Sports,Social Media,Resistant,Moderate,Collectivist,Conservative,Inactive,Luxury,Rare,Low,Occasional,Trendy,Moderate
Active,Health,Sports,News Websites,Enthusiastic,Low,Behavioralistic,Conservative,Occasional,International,Frequent,Moderate,Frequent,Casual,Low
Sedentary,Family,Sports,TV,Neutral,Moderate,Collectivist,Independent,Occasional,Adventure,Occasional,High,None,Classic,Low
Active,Adventure,Gaming,News Websites,Resistant,High,Collectivist,Liberal,Active,Domestic,Frequent,High,Frequent,Casual,Low
Balanced,Career,Reading,Streaming,Enthusiastic,Low,Collectivist,Independent,Inactive,Adventure,Rare,Moderate,Occasional,Trendy,Low
Sedentary,Health,Reading,Streaming,Resistant,Moderate,Behavioralistic,Independent,Inactive,Adventure,Occasional,Moderate,Occasional,Minimalist,Moderate
Active,Community,Cooking,Social Media,Enthusiastic,High,Behavioralistic,Conservative,Occasional,Luxury,Occasional,High,Occasional,Minimalist,High
Balanced,Family,Gaming,News Websites,Resistant,High,Behavioralistic,Independent,Occasional,Domestic,Rare,High,Frequent,Classic,Low
Active,Family,Reading,News Websites,Enthusiastic,Low,Behavioralistic,Conservative,Active,Adventure,Rare,Moderate,Frequent,Classic,Moderate
Balanced,Career,Travel,Streaming,Resistant,Low,Collectivist,Conservative,Inactive,Luxury,Occasional,High,Occasional,Casual,Moderate
Active,Community,Sports,TV,Resistant,Low,Collectivist,Independent,Occasional,Adventure,Frequent,Moderate,Occasional,Casual,Moderate
Sedentary,Community,Travel,Streaming,Neutral,High,Behavioralistic,Liberal,Occasional,Domestic,Frequent,High,Frequent,Minimalist,Moderate
Balanced,Adventure,Travel,News Websites,Neutral,High,Collectivist,Independent,Occasional,Domestic,Rare,Moderate,None,Minimalist,Moderate
Balanced,Community,Sports,Streaming,Neutral,High,Collectivist,Liberal,Active,Luxury,Occasional,Low,Occasional,Minimalist,High
Balanced,Health,Gaming,TV,Neutral,Moderate,Collectivist,Independent,Active,Adventure,Occasional,High,Frequent,Classic,High
Sedentary,Career,Gaming,TV,Resistant,High,Collectivist,Independent,Inactive,Domestic,Rare,Moderate,Frequent,Casual,Low
Sedentary,Adventure,Sports,Streaming,Enthusiastic,High,Collectivist,Liberal,Active,International,Frequent,Moderate,Frequent,Minimalist,Low
Sedentary,Adventure,Reading,News Websites,Neutral,High,Behavioralistic,Independent,Active,International,Rare,Moderate,Frequent,Minimalist,High
Sedentary,Health,Sports,Magazines,Resistant,Low,Collectivist,Liberal,Inactive,Luxury,Occasional,High,Frequent,Trendy,Moderate
Balanced,Adventure,Travel,Magazines,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,International,Frequent,Low,Frequent,Casual,High
Sedentary,Health,Travel,Magazines,Resistant,Low,Behavioralistic,Conservative,Occasional,International,Rare,High,Occasional,Trendy,High
Balanced,Adventure,Sports,Streaming,Resistant,Moderate,Behavioralistic,Independent,Active,Luxury,Rare,Low,Frequent,Casual,Low
Active,Family,Travel,Magazines,Enthusiastic,Moderate,Collectivist,Liberal,Occasional,International,Occasional,Low,Occasional,Trendy,Low
Balanced,Health,Travel,Magazines,Neutral,High,Collectivist,Conservative,Inactive,International,Frequent,High,None,Trendy,Low
Sedentary,Health,Travel,News Websites,Resistant,High,Behavioralistic,Independent,Inactive,Domestic,Occasional,Low,Occasional,Classic,High
Balanced,Family,Reading,Streaming,Neutral,Low,Behavioralistic,Liberal,Active,Domestic,Frequent,Moderate,Frequent,Trendy,Moderate
Balanced,Family,Travel,Streaming,Neutral,High,Behavioralistic,Independent,Occasional,International,Occasional,Low,None,Trendy,Moderate
Active,Career,Gaming,Streaming,Enthusiastic,Moderate,Collectivist,Conservative,Inactive,Adventure,Rare,High,Frequent,Minimalist,High
Sedentary,Family,Gaming,News Websites,Enthusiastic,Moderate,Collectivist,Conservative,Active,Adventure,Occasional,Moderate,Frequent,Casual,Moderate
Balanced,Career,Travel,Social Media,Neutral,Moderate,Collectivist,Liberal,Inactive,Adventure,Frequent,Low,Frequent,Classic,Moderate
Active,Family,Cooking,TV,Resistant,Low,Behavioralistic,Independent,Inactive,International,Rare,High,Occasional,Classic,Low
Sedentary,Adventure,Sports,Magazines,Resistant,Moderate,Behavioralistic,Liberal,Occasional,Domestic,Frequent,High,Occasional,Minimalist,Low
Active,Community,Reading,News Websites,Neutral,Low,Behavioralistic,Independent,Inactive,Domestic,Rare,Low,Occasional,Minimalist,Low
Sedentary,Adventure,Sports,Magazines,Neutral,Low,Behavioralistic,Liberal,Active,Domestic,Occasional,Low,Frequent,Minimalist,Low
Sedentary,Family,Gaming,Social Media,Resistant,Low,Collectivist,Independent,Active,International,Rare,Low,None,Trendy,Moderate
Balanced,Health,Travel,Magazines,Neutral,Low,Collectivist,Conservative,Occasional,International,Frequent,Low,None,Minimalist,Low
Sedentary,Community,Travel,TV,Neutral,Low,Behavioralistic,Independent,Active,International,Rare,High,Occasional,Minimalist,Low
Sedentary,Family,Reading,Streaming,Neutral,Moderate,Collectivist,Conservative,Active,International,Rare,Moderate,Occasional,Casual,High
Active,Health,Reading,Social Media,Resistant,Low,Behavioralistic,Independent,Active,International,Occasional,Moderate,Frequent,Trendy,Moderate
Sedentary,Community,Gaming,News Websites,Neutral,Moderate,Collectivist,Liberal,Active,Adventure,Rare,Low,Frequent,Classic,Moderate
Active,Health,Gaming,News Websites,Neutral,High,Collectivist,Independent,Active,Adventure,Rare,High,Frequent,Minimalist,Low
Active,Career,Sports,Streaming,Neutral,Low,Collectivist,Conservative,Occasional,Luxury,Rare,Low,Frequent,Trendy,Moderate
Sedentary,Adventure,Cooking,Social Media,Neutral,Moderate,Collectivist,Independent,Active,Adventure,Frequent,High,None,Casual,Low
Active,Family,Reading,TV,Enthusiastic,High,Collectivist,Conservative,Inactive,Adventure,Rare,Moderate,None,Trendy,Moderate
Active,Health,Gaming,News Websites,Resistant,Moderate,Collectivist,Independent,Occasional,Luxury,Rare,Moderate,Occasional,Casual,Moderate
Balanced,Career,Gaming,TV,Resistant,Moderate,Behavioralistic,Liberal,Active,International,Rare,High,Frequent,Trendy,Low
Balanced,Community,Cooking,Social Media,Enthusiastic,High,Behavioralistic,Liberal,Active,Luxury,Occasional,Low,Frequent,Casual,Moderate
Sedentary,Community,Gaming,Social Media,Resistant,High,Collectivist,Liberal,Occasional,International,Frequent,Moderate,Frequent,Classic,High
Sedentary,Health,Cooking,Magazines,Resistant,Low,Behavioralistic,Independent,Inactive,Domestic,Rare,Low,Frequent,Classic,High
Active,Family,Gaming,News Websites,Neutral,Low,Behavioralistic,Liberal,Occasional,Luxury,Occasional,Moderate,None,Trendy,Moderate
Sedentary,Health,Sports,Magazines,Resistant,Moderate,Behavioralistic,Liberal,Inactive,Adventure,Frequent,Low,Frequent,Casual,Moderate
Sedentary,Community,Cooking,Magazines,Enthusiastic,Moderate,Collectivist,Independent,Active,Adventure,Frequent,High,Frequent,Trendy,Moderate
Active,Community,Cooking,Streaming,Resistant,Low,Behavioralistic,Liberal,Inactive,Luxury,Frequent,High,Frequent,Trendy,Low
Balanced,Adventure,Reading,TV,Resistant,High,Collectivist,Independent,Occasional,Domestic,Occasional,High,None,Casual,Moderate
Sedentary,Adventure,Travel,Social Media,Resistant,High,Behavioralistic,Liberal,Active,Domestic,Frequent,High,None,Classic,Low
Balanced,Community,Cooking,Streaming,Resistant,Low,Collectivist,Independent,Inactive,Adventure,Frequent,Moderate,Frequent,Minimalist,Low
Sedentary,Adventure,Reading,Magazines,Resistant,High,Collectivist,Conservative,Active,Adventure,Frequent,High,Frequent,Casual,Low
Sedentary,Career,Sports,Social Media,Resistant,High,Behavioralistic,Conservative,Inactive,Domestic,Frequent,Low,Occasional,Minimalist,Low
Sedentary,Adventure,Cooking,Social Media,Resistant,Low,Behavioralistic,Independent,Active,Luxury,Rare,Moderate,Occasional,Classic,Moderate
Sedentary,Community,Gaming,TV,Enthusiastic,Moderate,Collectivist,Liberal,Active,International,Rare,Moderate,Occasional,Classic,Moderate
Sedentary,Community,Travel,Streaming,Neutral,Moderate,Behavioralistic,Liberal,Active,Domestic,Occasional,High,None,Casual,High
Sedentary,Adventure,Sports,TV,Resistant,Low,Collectivist,Independent,Inactive,International,Occasional,Moderate,Frequent,Minimalist,Low
Active,Community,Travel,TV,Enthusiastic,Moderate,Collectivist,Conservative,Inactive,Adventure,Frequent,High,None,Casual,High
Sedentary,Health,Gaming,TV,Neutral,Low,Collectivist,Conservative,Active,International,Occasional,Low,Frequent,Casual,Moderate
Sedentary,Family,Travel,Social Media,Resistant,Moderate,Collectivist,Conservative,Active,Domestic,Frequent,High,None,Casual,Low
Balanced,Adventure,Reading,Social Media,Resistant,Moderate,Behavioralistic,Liberal,Inactive,International,Rare,High,Occasional,Casual,Low
Balanced,Health,Gaming,News Websites,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Adventure,Frequent,Moderate,None,Trendy,High
Active,Career,Sports,Magazines,Resistant,Low,Collectivist,Conservative,Occasional,Domestic,Frequent,High,None,Minimalist,Low
Active,Family,Gaming,TV,Resistant,Moderate,Behavioralistic,Independent,Occasional,International,Rare,High,Frequent,Casual,Moderate
Sedentary,Adventure,Gaming,Social Media,Resistant,Moderate,Collectivist,Conservative,Occasional,Domestic,Frequent,Moderate,None,Trendy,Low
Active,Family,Reading,News Websites,Enthusiastic,Low,Behavioralistic,Liberal,Active,Domestic,Occasional,High,None,Trendy,Moderate
Active,Health,Cooking,Magazines,Enthusiastic,High,Collectivist,Liberal,Occasional,Domestic,Occasional,Low,Occasional,Minimalist,Moderate
Sedentary,Health,Cooking,Social Media,Neutral,High,Collectivist,Independent,Active,Adventure,Rare,High,Occasional,Minimalist,Low
Active,Community,Travel,News Websites,Neutral,Moderate,Behavioralistic,Independent,Active,Domestic,Rare,Moderate,Frequent,Minimalist,Low
Balanced,Career,Sports,TV,Enthusiastic,Low,Behavioralistic,Conservative,Occasional,International,Frequent,High,Frequent,Casual,High
Active,Career,Travel,Magazines,Resistant,Low,Behavioralistic,Liberal,Occasional,International,Rare,Low,Occasional,Minimalist,Moderate
Sedentary,Career,Travel,Social Media,Neutral,High,Collectivist,Liberal,Active,Luxury,Rare,Low,Occasional,Trendy,Low
Sedentary,Community,Reading,TV,Resistant,Moderate,Collectivist,Conservative,Active,Luxury,Frequent,Moderate,Occasional,Classic,High
Balanced,Career,Cooking,Magazines,Resistant,Moderate,Behavioralistic,Liberal,Active,Domestic,Occasional,High,Occasional,Minimalist,Moderate
Balanced,Health,Travel,Social Media,Resistant,Low,Behavioralistic,Independent,Inactive,International,Frequent,High,Occasional,Trendy,Moderate
Sedentary,Community,Reading,Magazines,Enthusiastic,Moderate,Behavioralistic,Liberal,Active,Adventure,Occasional,High,Frequent,Casual,Low
Sedentary,Community,Cooking,Streaming,Resistant,Moderate,Behavioralistic,Independent,Active,Adventure,Occasional,Low,Occasional,Trendy,High
Active,Adventure,Cooking,Social Media,Neutral,Low,Collectivist,Independent,Occasional,Luxury,Frequent,Low,Occasional,Minimalist,High
Active,Career,Sports,News Websites,Neutral,High,Collectivist,Conservative,Inactive,Domestic,Frequent,High,Frequent,Minimalist,Low
Active,Family,Travel,TV,Neutral,High,Collectivist,Conservative,Inactive,International,Rare,Low,Frequent,Trendy,Moderate
Balanced,Family,Cooking,Magazines,Neutral,High,Behavioralistic,Conservative,Occasional,Adventure,Frequent,High,Occasional,Classic,Moderate
Balanced,Adventure,Sports,Magazines,Neutral,Low,Collectivist,Independent,Occasional,International,Frequent,Low,Frequent,Casual,Moderate
Active,Community,Cooking,TV,Neutral,High,Behavioralistic,Independent,Occasional,Adventure,Occasional,Low,Occasional,Casual,Low
Sedentary,Family,Gaming,Magazines,Enthusiastic,Moderate,Behavioralistic,Independent,Occasional,Adventure,Occasional,High,Occasional,Minimalist,Moderate
Sedentary,Health,Sports,Magazines,Neutral,Moderate,Collectivist,Conservative,Inactive,Luxury,Occasional,High,Occasional,Minimalist,Low
Sedentary,Family,Cooking,TV,Neutral,Low,Collectivist,Conservative,Occasional,Luxury,Frequent,Low,Occasional,Classic,Moderate
Balanced,Adventure,Reading,Social Media,Resistant,Moderate,Collectivist,Independent,Occasional,Adventure,Rare,Moderate,None,Trendy,Low
Sedentary,Community,Reading,Magazines,Resistant,Low,Behavioralistic,Conservative,Inactive,Adventure,Rare,Low,Frequent,Classic,Moderate
Balanced,Community,Travel,Streaming,Enthusiastic,Low,Behavioralistic,Liberal,Inactive,Adventure,Rare,Low,None,Casual,Low
Active,Adventure,Reading,Social Media,Enthusiastic,High,Behavioralistic,Conservative,Occasional,Luxury,Frequent,Moderate,Occasional,Trendy,High
Balanced,Career,Reading,Magazines,Enthusiastic,Low,Collectivist,Independent,Active,Luxury,Occasional,Low,Occasional,Classic,Low
Balanced,Community,Reading,TV,Resistant,Low,Behavioralistic,Conservative,Active,Luxury,Rare,High,Occasional,Casual,Low
Sedentary,Adventure,Reading,Magazines,Enthusiastic,High,Behavioralistic,Liberal,Inactive,Luxury,Occasional,Moderate,None,Minimalist,Moderate
Active,Family,Reading,Social Media,Neutral,Moderate,Collectivist,Liberal,Occasional,Domestic,Frequent,Moderate,Frequent,Minimalist,Moderate
Active,Family,Reading,TV,Neutral,Low,Collectivist,Conservative,Occasional,Adventure,Occasional,Low,None,Minimalist,High
Sedentary,Adventure,Reading,TV,Neutral,Moderate,Behavioralistic,Conservative,Inactive,Luxury,Occasional,Moderate,Occasional,Casual,Moderate
Sedentary,Career,Travel,Social Media,Enthusiastic,High,Behavioralistic,Conservative,Inactive,Domestic,Occasional,High,None,Minimalist,Moderate
Balanced,Health,Cooking,Streaming,Neutral,High,Behavioralistic,Independent,Occasional,Luxury,Rare,High,None,Minimalist,High
Balanced,Adventure,Reading,Social Media,Resistant,Low,Collectivist,Liberal,Occasional,Adventure,Frequent,High,Frequent,Casual,Low
Sedentary,Community,Reading,Magazines,Neutral,Low,Behavioralistic,Independent,Inactive,Domestic,Rare,Low,Occasional,Minimalist,Low
Active,Community,Gaming,TV,Neutral,Moderate,Collectivist,Conservative,Active,Domestic,Occasional,High,Occasional,Classic,Low
Sedentary,Health,Cooking,Streaming,Enthusiastic,High,Behavioralistic,Liberal,Active,Domestic,Rare,Moderate,None,Classic,High
Active,Family,Travel,Social Media,Resistant,Moderate,Behavioralistic,Liberal,Active,Adventure,Rare,Low,Occasional,Minimalist,Low
Sedentary,Career,Gaming,Social Media,Neutral,Low,Behavioralistic,Independent,Active,International,Occasional,Low,Frequent,Trendy,Moderate
Active,Adventure,Sports,Social Media,Enthusiastic,Moderate,Collectivist,Independent,Inactive,Domestic,Occasional,Moderate,Occasional,Minimalist,Moderate
Balanced,Health,Gaming,TV,Enthusiastic,Low,Behavioralistic,Independent,Inactive,Luxury,Frequent,Moderate,None,Classic,High
Sedentary,Family,Sports,Streaming,Neutral,High,Behavioralistic,Conservative,Active,Adventure,Rare,High,Frequent,Minimalist,Low
Active,Career,Gaming,News Websites,Resistant,Low,Behavioralistic,Conservative,Occasional,International,Frequent,Moderate,None,Minimalist,High
Sedentary,Health,Reading,Streaming,Resistant,Moderate,Behavioralistic,Liberal,Active,Domestic,Rare,High,Frequent,Minimalist,Moderate
Balanced,Family,Gaming,Social Media,Enthusiastic,High,Behavioralistic,Conservative,Inactive,Domestic,Frequent,Low,None,Classic,High
Sedentary,Health,Reading,Magazines,Neutral,Moderate,Behavioralistic,Independent,Inactive,Adventure,Frequent,High,Occasional,Classic,High
Sedentary,Community,Sports,Magazines,Neutral,High,Behavioralistic,Independent,Active,International,Frequent,Low,Frequent,Classic,Low
Sedentary,Community,Reading,Streaming,Enthusiastic,Moderate,Collectivist,Independent,Inactive,International,Frequent,Low,Occasional,Casual,Moderate
Active,Adventure,Gaming,News Websites,Neutral,Low,Behavioralistic,Liberal,Occasional,International,Occasional,Low,Frequent,Minimalist,High
Balanced,Adventure,Cooking,Magazines,Resistant,Moderate,Collectivist,Conservative,Occasional,Luxury,Occasional,High,Occasional,Minimalist,High
Balanced,Community,Reading,Streaming,Resistant,High,Behavioralistic,Independent,Active,Luxury,Occasional,Low,None,Classic,Low
Active,Community,Reading,TV,Neutral,Low,Behavioralistic,Independent,Active,Domestic,Occasional,High,Occasional,Classic,Low
Active,Adventure,Sports,TV,Resistant,Moderate,Behavioralistic,Conservative,Active,International,Frequent,High,None,Trendy,Moderate
Sedentary,Community,Sports,Magazines,Neutral,Low,Collectivist,Independent,Active,Luxury,Rare,Moderate,Occasional,Trendy,Low
Sedentary,Career,Travel,Magazines,Neutral,Low,Collectivist,Conservative,Active,Domestic,Frequent,Moderate,Frequent,Casual,Low
Balanced,Community,Travel,TV,Neutral,Moderate,Behavioralistic,Liberal,Occasional,International,Frequent,Low,None,Minimalist,High
Balanced,Health,Sports,News Websites,Neutral,High,Behavioralistic,Conservative,Inactive,Domestic,Rare,Moderate,None,Classic,Low
Sedentary,Adventure,Reading,Magazines,Resistant,Moderate,Collectivist,Liberal,Active,Adventure,Rare,High,None,Casual,High
Sedentary,Career,Sports,Social Media,Enthusiastic,Moderate,Collectivist,Independent,Occasional,Domestic,Rare,Moderate,None,Classic,Low
Balanced,Community,Reading,News Websites,Enthusiastic,High,Behavioralistic,Independent,Inactive,International,Occasional,Moderate,Occasional,Classic,High
Active,Health,Reading,Social Media,Resistant,High,Collectivist,Conservative,Occasional,Adventure,Frequent,Low,None,Classic,Moderate
Balanced,Adventure,Reading,Social Media,Enthusiastic,Moderate,Collectivist,Conservative,Active,Luxury,Frequent,High,None,Classic,Low
Balanced,Community,Sports,Magazines,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Domestic,Occasional,Low,Occasional,Classic,High
Active,Adventure,Sports,TV,Neutral,Low,Collectivist,Liberal,Active,Domestic,Frequent,Low,None,Casual,High
Active,Career,Reading,Magazines,Enthusiastic,High,Behavioralistic,Conservative,Occasional,International,Rare,Low,Frequent,Classic,Low
Active,Community,Travel,News Websites,Resistant,High,Behavioralistic,Conservative,Occasional,Domestic,Occasional,Moderate,None,Casual,Low
Balanced,Family,Travel,News Websites,Resistant,High,Behavioralistic,Conservative,Inactive,Adventure,Occasional,Moderate,Frequent,Minimalist,High
Sedentary,Health,Cooking,TV,Resistant,High,Behavioralistic,Independent,Occasional,Adventure,Frequent,Moderate,None,Casual,Low
Sedentary,Adventure,Travel,Magazines,Neutral,Low,Behavioralistic,Independent,Occasional,International,Occasional,Moderate,Frequent,Casual,High
Active,Health,Cooking,TV,Resistant,Low,Behavioralistic,Conservative,Active,Adventure,Occasional,High,None,Minimalist,Moderate
Sedentary,Career,Reading,Social Media,Resistant,Low,Behavioralistic,Conservative,Inactive,International,Frequent,Moderate,Frequent,Casual,Low
Balanced,Health,Sports,News Websites,Enthusiastic,High,Collectivist,Liberal,Active,Luxury,Rare,Moderate,Occasional,Classic,Low
Active,Career,Sports,Streaming,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,International,Frequent,High,Frequent,Trendy,Moderate
